"O‘zbekiston Respublikasiga turistik maqsadlarda kelgan fuqarolar soni, ming kishi /Число въехавших в Республику Узбекистан посетителей с туристскими целями, тысяч человек / 
Number of arrivals to the Republic of Uzbekistan tourist purposes, thous. persons",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Ko‘rsatkichlar,Кўрсаткичлар,Показатели,Indicators,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"O‘zbekiston Respublikasiga turistik maqsadlarda kelgan chet el fuqarolari soni","Ўзбекистон Республикасига туристик мақсадларда келган чет эл фуқаролари сони","Число иностранных граждан въехавших в Республику Узбекистан с туристскими целями","Arrivals of foreign citizents to the Republic of Uzbekistan",1895,1968.6,1862,1917.7,2027,2690,5346.3,6748.5,1504.1,1881.3
ayollar,аёллар,женщины,female ,1038.9,1103.2,1025.5,1056.1,1128.3,1496.5,2830.5,3530,738.7,924.6
erkaklar,эркаклар,мужчины,male ,856.1,865.4,836.5,861.6,898.7,1193.5,2515.8,3218.5,765.4,956.7
