"O‘zbekiston Respublikasiga kelgan chet el fuqarolarining davlatlar bo‘yicha taqsimlanishi, ming kishi / 
Распределение въехавших в Республику Узбекистан иностранных граждан с туристскими целями по странам, тысяч человек / 
Arrivals of foreign citizents to the Republic of Uzbekistan by countries , thous. persons",,,,,,,,,,
erkaklar,еркаклар,мужчины,men,24.1,23.9,25.6,66.8,201.192,21.4,0.9
Turkiya,Туркия,Турция,Turkey,36.3,39.7,48.3,41.3,63.539,21,44.2
ayollar,аёллар,женщины,women,10.8,12,14,4.7,6.83,1.7,5.8
erkaklar,еркаклар,мужчины,men,25.5,27.7,34.3,36.6,56.709,19.3,38.4
Ukraina,Украина,Украина,Ukraine,2.2,0.6,0.7,11.7,14.041,3.2,8.7
ayollar,аёллар,женщины,women,0.4,0,0,4.1,5.133,1,3
erkaklar,еркаклар,мужчины,men,1.8,0.6,0.7,7.6,8.908,2.2,5.7
Fransiya,Франция,Франция,France,3.5,4.7,5.6,13.5,20.39,1,3.4
ayollar,аёллар,женщины,women,1.9,2.6,3.2,6.9,10.32,0.3,1.3
erkaklar,еркаклар,мужчины,men,1.6,2.1,2.4,6.6,10.07,0.7,2.1
Yaponiya,Япония,Япония,Japan,2.3,3,4,17,24.944,1.4,1
ayollar,аёллар,женщины,women,1.3,1.9,2.5,8.6,13.384,0.5,0.3
erkaklar,еркаклар,мужчины,men,1,1.1,1.5,8.4,11.56,0.9,0.7
"Boshqa davlatlar","Бошқа давлатлар","Другие страны","Other countries",3.2,2.9,5.9,67.3,98.993999999999,13.5,40.4
ayollar,аёллар,женщины,women,0.2,0.4,0.7,26.099999999999,39.851,3.5,11.1
erkaklar,еркаклар,мужчины,men,3,2.5,5.2,41.2,59.143,9.9999999999998,29.3
