"Chet elga ketgan O‘zbekiston Respublikasi fuqarolarining davlatlar bo‘yicha taqsimlanishi, ming kishi / 
Распределение выехавших за границу граждан Республики Узбекистан с туристскими целями по странам, тысяч человек / 
Departures of Uzbek citizents abroad by countries, thous. persons",,,,,,,,,,
"Buyuk Britaniya","Буюк Британия","Великобритания ","Great Britain",3.6,3.8,4.1,3.6,3.139,0.6,1.3
ayollar,аёллар,женщины,female,2,2.1,2.2,1.7,1.488,0.2,0.5
erkaklar,еркаклар,мужчины,"male  ",1.6,1.7,1.9,1.9,1.651,0.4,0.8
AQSH,АҚШ,"С Ш А",USA,10.5,13,12.8,13.4,15.22,3.1,6.8
ayollar,аёллар,женщины,female,5.3,6.7,6.6,7,7.794,1.5,3.5
erkaklar,еркаклар,мужчины,"male  ",5.2,6.3,6.2,6.4,7.426,1.6,3.3
Tojikiston,Тожикистон,Таджикистан,Tadjikistan,158.6,219.1,254.2,1384.3,1261.096,299.5,182.5
ayollar,аёллар,женщины,female,87.8,117.6,140.2,691.6,618.652,134.2,86.1
erkaklar,еркаклар,мужчины,"male  ",70.8,101.5,114,692.7,642.444,165.3,96.5
Tailand,Таиланд,Таиланд,Thailand,10.4,13.1,14,12,13.201,4.8,0.3
ayollar,аёллар,женщины,female,5.3,6.7,7.1,6,6.661,1.8,0.1
erkaklar,еркаклар,мужчины,"male  ",5.1,6.4,6.9,6,6.54,3,0.1
Turkmaniston,Туркманистон,Туркменистан,Turkmenistan,86.6,89.6,93.2,88.9,72.988,16.6,1.8
ayollar,аёллар,женщины,female,8.3,7.4,7.7,10.2,8.089,1.2,0
erkaklar,еркаклар,мужчины,"male  ",78.3,82.2,85.5,78.7,64.899,15.4,1.8
Turkiya,Турция,Турция,Turkey,114.6,114.6,141.2,136.9,168.746,62.7,174
ayollar,аёллар,женщины,female,70.4,69,84.3,78.6,96.928,33.9,96.3
erkaklar,еркаклар,мужчины,"male  ",44.2,45.6,56.9,58.3,71.818,28.8,77.8
Fransiya,Франция,Франция,France,4.2,4.1,4.5,3.1,2.705,0.3,0
ayollar,аёллар,женщины,female,2.1,2,2.2,1.5,1.385,0.1,0
erkaklar,еркаклар,мужчины,"male  ",2.1,2.1,2.3,1.6,1.32,0.2,0
Yaponiya,Япония,Япония,Japan,1.8,2,2.7,2.9,1.923,0.1,0.5
ayollar,аёллар,женщины,female,0.8,0.8,0.8,0.6,0.563,0,0.2
erkaklar,еркаклар,мужчины,"male  ",1,1.2,1.9,2.3,1.36,0.1,0.3
"Boshqa mamlakatlar","Бошқа мамлакатлар","Другие страны","Other countries",4.7000000000004,1.8000000000005,4.1000000000002,27.9,13.122999999999,8.7999999999999,46.7
ayollar,аёллар,женщины,female,1.5000000000002,0.19999999999999,1.4999999999999,15.100000000001,6.1229999999991,3.4999999999999,21
erkaklar,еркаклар,мужчины,"male  ",3.2000000000002,1.6000000000005,2.6000000000003,12.799999999999,7.0000000000001,5.3,121.9
